Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Lynchburg Parks and Recreation,2021,VA,367565694.0,81266.0,27,7,53
Lynchburg Parks and Recreation,2019,VA,3798285.0,80380.0,,,
Lynchburg Parks and Recreation,2018,VA,3736759.0,79531.0,22,19,56
Lynchburg Parks and Recreation,2013,VA,282018271.0,78014.0,,,0
Bellflower (City of) Parks and Recreation,2014,CA,37070884.0,77593.0,8,2,49
Fauquier County Parks and Recreation,2014,VA,266600000.0,67207.0,21,16,28
Fauquier County Parks and Recreation,2015,VA,266600000.0,67207.0,21,16,28
Fauquier County Parks and Recreation,2016,VA,,68782.0,21,16,29
Fauquier County Parks and Recreation,2017,VA,3752458.0,69521.0,21,16,38
Fauquier County Parks and Recreation,2020,VA,,71222.0,30,7,30
Fauquier County Parks and Recreation,2021,VA,4479247.0,72972.0,9,17,38
Mount Pleasant SC Recreation Department,2020,SC,7359758.0,89000.0,5,21,75
Mount Pleasant SC Recreation Department,2021,SC,7576000.0,93000.0,,,
Mount Pleasant SC Recreation Department,2022,SC,91855353.0,93000.0,,,80
Mount Pleasant SC Recreation Department,2018,SC,7328898.0,86552.0,5,21,68
Mount Pleasant SC Recreation Department,2013,SC,101679757.0,73160.0,,,
Kannapolis (City of) Parks and Recreation,2020,NC,84000000.0,50841.0,11,0,34
Yuma (City of),2016,AZ,173635913.0,93400.0,35,26,183
Yuma (City of),2019,AZ,173635913.0,93400.0,35,26,183
Yuma (City of),2015,AZ,164190136.0,93400.0,35,26,254
Yuma (City of),2014,AZ,164190136.0,93013.0,35,26,124
S Charles Parish,2015,LA,6009506.0,52780.0,48,2,44
Gastonia (City of),2020,NC,285177983.0,77000.0,21,2,73
Gastonia (City of),2018,NC,236992490.0,75536.0,,,
Gastonia (City of),2014,NC,202730505.0,73209.0,,,
Palm Beach Gardens (City of),2022,FL,132237756.0,59755.0,18,0,90
Palm Beach Gardens (City of),2021,FL,182700733.0,59098.0,17,0,83
Palm Beach Gardens (City of),2020,FL,175554209.0,57890.0,,,
Tinley Park-Park District,2018,IL,9901000.0,57000.0,45,5,79
Tinley Park-Park District,2017,IL,9901000.0,56831.0,,,31
Tinley Park-Park District,2020,IL,10736013.0,57000.0,44,11,79
Tinley Park-Park District,2021,IL,10714370.0,57000.0,44,11,80
Tinley Park-Park District,2022,IL,8642430.0,57000.0,44,11,80
Nassau County,2015,FL,68295856.0,76000.0,,,27
"Bloomington, MN (City of)",2013,MN,143966989.0,86030.0,97,0,
"Portland, Maine Parks, Recreation and Facilities Department",2020,ME,256986420.0,66215.0,67,,127
"Portland, Maine Parks, Recreation and Facilities Department",2021,ME,268216301.0,68208.0,67,,128
"Portland, Maine Parks, Recreation and Facilities Department",2014,ME,220985836.0,66194.0,,,
"Portland, Maine Parks, Recreation and Facilities Department",2018,ME,189306000.0,66882.0,66,,148
Arlington Heights Park District,2014,IL,26455325.0,75101.0,57,4,258
Arlington Heights Park District,2015,IL,26455325.0,75101.0,57,4,258
Arlington Heights Park District,2020,IL,27545430.0,75525.0,58,,237
Arlington Heights Park District,2021,IL,25499180.0,75525.0,58,,229
Arlington Heights Park District,2022,IL,25574930.0,73692.0,58,,232
Hopkins/Minnetonka Recreation Department,2013,MN,5826200.0,69393.0,,,70
Hopkins/Minnetonka Recreation Department,2019,MN,59607400.0,53953.0,52,15,61
Hopkins/Minnetonka Recreation Department,2020,MN,122245705.0,53025.0,53,2,123
Hopkins/Minnetonka Recreation Department,2021,MN,122245705.0,53025.0,53,2,123
Woodbury (City of),2020,MN,35753983.0,71306.0,55,,59
Woodbury (City of),2021,MN,38794650.0,76593.0,52,1,77
Woodbury (City of),2017,MN,85426677.0,69240.0,51,0,75
Woodbury (City of),2019,MN,35701950.0,71622.0,55,,71
Woodbury (City of),2015,MN,30687612.0,67875.0,54,5,50
Woodbury (City of),2014,MN,63361631.0,66807.0,46,0,
Coon Rapids (City of),2018,MN,30770521.0,62000.0,,,
Clifton Recreation Department,2013,NJ,,85390.0,,,
Owensboro Parks and Recreation,2018,KY,120467008.0,59404.0,24,3,96
Owensboro Parks and Recreation,2014,KY,84975128.0,57412.0,24,7,17
Owensboro Parks and Recreation,2022,KY,168369783.0,60011.0,24,3,63
Columbus Indiana Parks and Recreation Department,2022,IN,9855973.0,50569.0,23,3,83
Delray Beach (City of) Parks and Recreation,2014,FL,179771053.0,61801.0,40,4,100
Delray Beach (City of) Parks and Recreation,2015,FL,167746000.0,62700.0,40,4,106
Delray Beach (City of) Parks and Recreation,2018,FL,,64127.0,57,,
Delray Beach (City of) Parks and Recreation,2017,FL,167746000.0,62700.0,40,4,106
Loveland Parks and Recreation,2014,CO,11887914.0,71985.0,29,72,514
Loveland Parks and Recreation,2016,CO,13709367.0,74000.0,32,28,
Loveland Parks and Recreation,2017,CO,15466372.0,74427.0,32,20,84
Loveland Parks and Recreation,2018,CO,227668913.0,75655.0,35,20,135
Loveland Parks and Recreation,2019,CO,261711987.0,75840.0,38,27,142
Loveland Parks and Recreation,2020,CO,261711987.0,75840.0,38,27,142
Loveland Parks and Recreation,2021,CO,268085302.0,76972.0,38,27,144
Loveland Parks and Recreation,2022,CO,254200332.0,77194.0,35,27,158
Doral (City of),2014,FL,15040198.0,50213.0,6,1,
Doral (City of),2016,FL,15040198.0,50213.0,6,1,
Doral (City of),2022,FL,6494611.0,70420.0,9,0,
Doral (City of),2020,FL,6494611.0,70420.0,9,0,
Augusta County Parks and Recreation,2018,VA,90805635.0,75144.0,6,1,10
Mountain View (City of) Community Services,2014,CA,97978612.0,77940.0,40,0,126
Mountain View (City of) Community Services,2015,CA,105589004.0,77914.0,40,1,128
Mountain View (City of) Community Services,2016,CA,114932746.0,80435.0,40,7,129
Wellington Parks and Recreation,2016,FL,64001500.0,59276.0,28,2,55
Wellington Parks and Recreation,2017,FL,68670156.0,59276.0,28,2,62
Wellington Parks and Recreation,2018,FL,73167940.0,59276.0,28,2,60
Wellington Parks and Recreation,2019,FL,71761000.0,62927.0,28,2,58
Wellington Parks and Recreation,2015,FL,76950000.0,59276.0,28,2,46
Wellington Parks and Recreation,2021,FL,77750000.0,62927.0,28,2,55
Wellington Parks and Recreation,2022,FL,77750000.0,62927.0,28,2,55
Bellevue (City of),2015,NE,500000.0,60000.0,25,0,
Bellevue (City of),2018,NE,633754.0,52000.0,,,
American Samoa Parks and Recreation,2015,PE,850000.0,65000.0,13,5,29
American Samoa Parks and Recreation,2017,PE,850500.0,65000.0,15,0,22
Redwood City (City of),2014,CA,14475362.0,76802.0,,,
Redwood City (City of),2020,CA,19778525.0,86200.0,34,12,119
South Lyon Area Recreation Authority,2022,MI,678485.0,51333.0,,,
S Charles Park District,2019,,18491423.0,51205.0,64,,174
S Charles Park District,2018,IL,17608933.0,51205.0,64,0,173
S Charles Park District,2023,IL,,51200.0,66,,161
S Charles Park District,2022,IL,24027104.0,51200.0,66,,179
S Charles Park District,2020,IL,19426574.0,51200.0,64,,174
S Charles Park District,2021,IL,21764744.0,51200.0,66,,161
Santa Fe (City of) Parks and Recreation Department,2015,NM,378000000.0,83000.0,70,200,197
Rochester Hills Parks and Natural Resources,2016,MI,107252400.0,72987.0,21,0,18
Rochester Hills Parks and Natural Resources,2017,MI,130316610.0,73458.0,21,,38
Rochester Hills Parks and Natural Resources,2019,MI,139804660.0,74205.0,15,7,41
Rochester Hills Parks and Natural Resources,2018,MI,129950370.0,74011.0,21,0,37
Rochester Hills Parks and Natural Resources,2020,MI,130144920.0,74000.0,15,7,41
Rochester Hills Parks and Natural Resources,2021,MI,130816260.0,74460.0,15,8,45
Rochester Hills Parks and Natural Resources,2022,MI,130816260.0,74460.0,15,8,45
Rochester Hills Parks and Natural Resources,2023,MI,146184110.0,76028.0,15,12,48
Lancaster (City of),2015,PA,52668059.0,59325.0,,,
Lancaster (City of),2014,PA,94666444.0,59302.0,24,6,23
Fishers (City of),2015,IN,1231358.0,87908.0,,,
Victoria Parks and Recreation,2015,TX,155225109.0,65098.0,16,232,44
Commerce City Parks and Recreation,2022,CO,87231489.0,60392.0,20,4,163
Commerce City Parks and Recreation,2018,CO,63593691.0,54795.0,,,142
Commerce City Parks and Recreation,2020,CO,74927140.0,59433.0,20,4,206
Commerce City Parks and Recreation,2021,CO,81960676.0,59433.0,20,4,157
Coconut (City of) Creek,2018,FL,713610.0,61010.0,,,
Coconut (City of) Creek,2020,FL,847190.0,58742.0,18,,53
Dubuque (City of) - Leisure Services Department,2015,IA,119891633.0,57637.0,49,0,79
Frederick County Parks and Recreation,2022,VA,371235492.0,93717.0,7,27,65
Frederick County Parks and Recreation,2020,VA,320113852.0,88355.0,6,27,63
Frederick County Parks and Recreation,2021,VA,349854336.0,91419.0,7,27,64
Frederick County Parks and Recreation,2019,VA,320113852.0,88355.0,6,27,63
Frederick County Parks and Recreation,2018,VA,510113852.0,84421.0,4,27,62
Roanoke Parks and Recreation,2017,VA,281092000.0,99681.0,71,1,92
Roanoke Parks and Recreation,2019,VA,291699000.0,99920.0,67,0,93
Suffolk Parks and Recreation,2015,VA,538716817.0,90426.0,22,26,116
Suffolk Parks and Recreation,2021,VA,650901297.0,94342.0,20,19,89
Longview Parks and Recreation,2021,TX,169319461.0,81593.0,34,7,58
Longview Parks and Recreation,2020,TX,169319461.0,81593.0,34,7,58
Longview Parks and Recreation,2022,TX,192002785.0,81593.0,34,7,58
Longview Parks and Recreation,2019,TX,169319461.0,81593.0,34,7,58
Longview Parks and Recreation,2018,TX,161251310.0,81593.0,34,7,57
Longview Parks and Recreation,2017,TX,142271740.0,81593.0,34,7,57
Longview Parks and Recreation,2016,TX,165094766.0,81593.0,34,7,57
Longview Parks and Recreation,2015,TX,155173420.0,81593.0,34,7,57
"Eau Claire (City of) Parks, Recreation and Forestry Department",2014,WI,84641600.0,67545.0,45,1,30
"Eau Claire (City of) Parks, Recreation and Forestry Department",2016,WI,84641600.0,67545.0,45,3,
"Eau Claire (City of) Parks, Recreation and Forestry Department",2017,WI,6269600.0,68339.0,32,2,36
"Eau Claire (City of) Parks, Recreation and Forestry Department",2018,WI,6001624.0,68043.0,32,2,35
"Eau Claire (City of) Parks, Recreation and Forestry Department",2019,WI,126596600.0,68043.0,43,0,35
"Queen Creek (Town of) Communications, Marketing, and Recreation",2019,AZ,46908169.0,50511.0,,,
"Queen Creek (Town of) Communications, Marketing, and Recreation",2018,AZ,220000000.0,50340.0,4,6,34
"Queen Creek (Town of) Communications, Marketing, and Recreation",2022,AZ,93365046.0,71000.0,4,1,55
"Queen Creek (Town of) Communications, Marketing, and Recreation",2020,AZ,44915695.0,61724.0,3,65,41
Granville County Parks and Recreation,2015,NC,55854085.0,59916.0,2,0,5
Port Orange (City of),2015,FL,102201672.0,58742.0,,,
Gulfport (City of),2019,MS,6474078.0,71870.0,33,33,76
Olander Park System,2019,OH,2000000.0,70000.0,7,,15
Olander Park System,2022,OH,1460200.0,52906.0,6,0,14
New Braunfels (City of) Parks and Recreation,2016,TX,8081229.0,67000.0,36,4,85
New Braunfels (City of) Parks and Recreation,2018,TX,189670276.0,79152.0,36,5,168
New Braunfels (City of) Parks and Recreation,2019,TX,103119609.0,84612.0,,,
New Braunfels (City of) Parks and Recreation,2022,TX,90594386.0,98587.0,39,7,169
New Braunfels (City of) Parks and Recreation,2020,TX,135886905.0,95782.0,41,3,102
Santa Cruz (City of),2022,CA,,61950.0,49,9,83
Iowa City Parks and Recreation,2020,IA,163662904.0,67862.0,50,20,46
Federal Way (City of),2016,WA,2500000.0,95000.0,,,
Georgetown - Scott County Parks and Recreation,2015,KY,2800000.0,52420.0,15,0,52
Georgetown - Scott County Parks and Recreation,2018,KY,3201425.0,56031.0,15,,56
Georgetown - Scott County Parks and Recreation,2019,KY,85150258.0,56031.0,15,0,55
Georgetown - Scott County Parks and Recreation,2017,KY,3272485.0,54873.0,15,0,54
Georgetown - Scott County Parks and Recreation,2016,KY,3087553.0,52420.0,15,0,54
Gastonia Parks and Recreation Department,2015,NC,211908279.0,71741.0,,,
Gastonia Parks and Recreation Department,2020,NC,211908279.0,71741.0,,,
Meridian Parks and Recreation,2015,ID,20169398.0,91311.0,19,49,38
Meridian Parks and Recreation,2014,ID,17514136.0,85240.0,19,47,37
Woodland Community Services Department,2015,CA,3537504.0,57432.0,25,1,161
"S Joseph Parks, Recreation, and Civic Facilities Department",2020,MO,127323312.0,76780.0,42,1,106
"S Joseph Parks, Recreation, and Civic Facilities Department",2023,MO,127323312.0,76780.0,42,1,106
"S Joseph Parks, Recreation, and Civic Facilities Department",2018,MO,130000000.0,76780.0,42,1,110
Parker (Town of) Parks and Recreation Department,2017,CO,126260000.0,51163.0,14,7,125
Parker (Town of) Parks and Recreation Department,2016,CO,9975766.0,51023.0,17,0,98
Parker (Town of) Parks and Recreation Department,2018,CO,117650000.0,53500.0,14,7,125
Parker (Town of) Parks and Recreation Department,2019,CO,90324234.0,57538.0,14,7,125
Parker (Town of) Parks and Recreation Department,2021,CO,116799297.0,56084.0,14,7,125
Parker (Town of) Parks and Recreation Department,2020,CO,116799297.0,56084.0,14,7,125
Parker (Town of) Parks and Recreation Department,2022,CO,116055490.0,59041.0,15,9,121
"Olympia (City of) Parks, Arts and Recreation",2020,WA,178422318.0,54150.0,50,0,80
"Olympia (City of) Parks, Arts and Recreation",2021,WA,167601399.0,55605.0,55,0,76
"Olympia (City of) Parks, Arts and Recreation",2019,WA,157022262.0,52770.0,50,0,74
"Olympia (City of) Parks, Arts and Recreation",2018,WA,150016108.0,52490.0,48,0,54
"Olympia (City of) Parks, Arts and Recreation",2017,WA,142559278.0,52160.0,48,0,62
"Olympia (City of) Parks, Arts and Recreation",2015,WA,124638150.0,51020.0,45,0,50
Apple Valley (City of),2015,MN,7500000.0,51000.0,54,4,40
Apple Valley (City of),2017,MN,7500000.0,52000.0,,,273
La Crosse Recreation Department,2015,WI,3000000.0,51000.0,57,0,23
Central Blair Recreation Commission,2019,PA,920000.0,55956.0,28,3,17
Goose Creek  (City of),2015,SC,2800000.0,50000.0,,,
Brantford Parks and Recreation,2018,NS,148085022.0,98000.0,,,
Sevierville Parks and Recreation Dept,2018,TN,2764614.0,60000.0,15,5,22
Normal Parks and Recreation Department,2018,IL,127175713.0,54664.0,20,4,108
Normal Parks and Recreation Department,2017,IL,8231613.0,54664.0,20,4,107
Normal Parks and Recreation Department,2016,IL,7900000.0,54664.0,20,4,110
Normal Parks and Recreation Department,2019,IL,127175713.0,54629.0,20,4,106
Rome-Floyd County Park and Recreation Department,2017,GA,2100000.0,95000.0,27,0,33
Rome-Floyd County Park and Recreation Department,2016,MD,1900000.0,96317.0,27,5,33
Lockport Township Park District,2015,IL,10350000.0,71000.0,50,0,124
Lockport Township Park District,2017,IL,10585000.0,71000.0,,,
Lockport Township Park District,2016,IL,10100000.0,71000.0,50,0,124
Palmer Community Development,2015,AK,13800000.0,61000.0,,,
Platte Co Parks and Recreation,2015,MO,700000.0,95000.0,6,2,10
Platte Co Parks and Recreation,2016,MO,700000.0,95000.0,6,2,10
Reston Association Parks and Recreation Department,2015,VA,14000000.0,60000.0,50,1,52
Reston Association Parks and Recreation Department,2016,VA,15265411.0,60000.0,65,7,218
Reston Association Parks and Recreation Department,2022,VA,,64672.0,65,7,248
Reston Association Parks and Recreation Department,2020,VA,16044074.0,60335.0,65,7,218
Reston Association Parks and Recreation Department,2021,VA,15539000.0,63226.0,65,7,248
Dublin - Laurens Co Rec Authority,2015,GA,1567000.0,50000.0,,,12
Centre Region Parks and Re Authority,2015,PA,2935300.0,93000.0,52,2,84
Centre Region Parks and Re Authority,2021,PA,3419733.0,91838.0,56,1,41
O'Fallon  Parks and Rcreation,2015,MO,7043722.0,84381.0,,,
O'Fallon  Parks and Rcreation,2020,MO,37000000.0,85000.0,,,
LSPR,2015,MO,3249303.0,93864.0,,,0
South Davis Recreation,2015,UT,4461102.0,95940.0,0,0,11
South Davis Recreation,2017,UT,5941374.0,93500.0,,,
Town of Flower Mound,2020,TX,8499220.0,79135.0,,,
Orland Park (Village of) Recreation Department,2022,IL,15274737.0,59000.0,64,5,109
Orland Park (Village of) Recreation Department,2016,IL,105730542.0,58600.0,63,30,36
Laguna Niguel (City of),2015,CA,48300000.0,65448.0,,,0
Waterloo Leisure Services,2015,IA,6700000.0,68000.0,,,0
Waterloo Leisure Services,2017,IA,7000000.0,65000.0,,,
"Shoreline Parks, Recreation and Cultural Services",2017,WA,48900000.0,55174.0,32,0,31
"Shoreline Parks, Recreation and Cultural Services",2018,WA,49038000.0,55730.0,32,0,31
"Shoreline Parks, Recreation and Cultural Services",2019,WA,5818624.0,55730.0,32,0,38
"Shoreline Parks, Recreation and Cultural Services",2015,WA,45700000.0,55174.0,32,0,27
"Shoreline Parks, Recreation and Cultural Services",2020,WA,7364027.0,57027.0,36,0,11
"Shoreline Parks, Recreation and Cultural Services",2021,WA,56318617.0,56980.0,36,0,34
"Shoreline Parks, Recreation and Cultural Services",2022,WA,57708833.0,57918.0,37,0,34
Cayuga County,2015,NY,140600000.0,80026.0,,,0
Bowie (City of),2016,MD,72713700.0,56148.0,,,0
Flint (City of)- Planning and Development,2017,MI,315000.0,99000.0,70,0,0
Pleasanton (City of) Parks,2016,CA,9999892.0,79510.0,46,11,37
Pleasanton (City of) Parks,2017,CA,6793582.0,82270.0,46,19,35
Pleasanton (City of) Parks,2019,CA,7873730.0,82000.0,46,19,32
Pleasanton (City of) Parks,2015,CA,9999892.0,79510.0,46,11,37
Revere Parks and Recreation,2016,MA,178363473.0,58000.0,17,7,8
Kingsport Parks and Recreation,2017,TN,2077600.0,53558.0,28,2,18
Kingsport Parks and Recreation,2020,TN,2344962.0,54076.0,28,2,18
Kingsport Parks and Recreation,2019,TN,2300373.0,54076.0,28,2,18
Kingsport Parks and Recreation,2022,TN,2241040.0,55442.0,28,2,19
Missouri City Parks and Recreation,2018,TX,3574843.0,67358.0,20,,19
Missouri City Parks and Recreation,2019,TX,2621831.0,73626.0,37,85,29
Missouri City Parks and Recreation,2016,TX,2726171.0,73626.0,37,85,29
Missouri City Parks and Recreation,2020,TX,90593828.0,73626.0,37,85,31
Missouri City Parks and Recreation,2021,TX,90593828.0,74259.0,37,85,31
Missouri City Parks and Recreation,2022,TX,89081331.0,74259.0,37,8,31
Haywood County Recreation and Parks,2018,NC,82920167.0,61084.0,1,59,3
Haywood County Recreation and Parks,2016,NC,78878608.0,60631.0,1,59,3
Wayne (Township of),2020,NJ,80500000.0,55000.0,,,
"Carson City Parks, Recreation and Open Space Department",2021,NV,183001723.0,57295.0,18,29,58
"Carson City Parks, Recreation and Open Space Department",2022,NV,194572835.0,58993.0,29,61,63
"Carson City Parks, Recreation and Open Space Department",2016,NV,167078000.0,55274.0,38,20,31
"Carson City Parks, Recreation and Open Space Department",2019,NV,,55274.0,38,20,31
Plymouth Recreation Dep,2016,MA,2860000.0,58000.0,30,0,56
Maury County Parks and Recreation,2016,TN,28407102.0,87757.0,6,0,13
Maury County Parks and Recreation,2017,TN,120000000.0,89981.0,,,
Southampton (Town of),2021,NY,107600000.0,69036.0,,,
Lakeville Parks and Recreation Dep,2016,MN,77645212.0,60633.0,,,
Lakeville Parks and Recreation Dep,2017,MN,44766494.0,62000.0,60,3,37
Fairfield (Town of),2016,CT,291606568.0,60855.0,51,5,75
Fairfield (Town of),2018,CT,298491756.0,62105.0,51,5,75
Fairfield (Town of),2023,CT,345100092.0,62512.0,,,
Mount Vernon,2016,NY,,70000.0,,,
Kirkland (City of) Parks and Community Services Department,2016,WA,,87701.0,,,
Kirkland (City of) Parks and Community Services Department,2017,WA,12000000.0,82000.0,,,
Santa Monica (City of) Community and Cultural Services,2016,CA,578411311.0,89736.0,,,
Rowlett (City of),2016,TX,40777237.0,61999.0,21,1,50
Rowlett (City of),2017,TX,,61999.0,,,
Lehi City Parks Department,2018,UT,198333982.0,62712.0,66,169,175
Lehi City Parks Department,2021,UT,42538794.0,76000.0,,,
Lake Forest (City of),2017,CA,51567300.0,84931.0,,,
Westland (City of),2017,MI,741690.0,85000.0,,,
Perris (City of),2017,CA,35387974.0,76331.0,15,5,94
Perris (City of),2021,CA,49374908.0,76331.0,23,2,120
Rockingham County Parks and Recreation,2018,VA,164288903.0,80000.0,1,0,26
Dunwoody (City of),2021,GA,3500000.0,50000.0,,,
"Marietta Parks, Recreation, and Facilities",2017,GA,322900000.0,60900.0,28,0,31
"Marietta Parks, Recreation, and Facilities",2018,GA,3500000.0,61000.0,,,48
"Marietta Parks, Recreation, and Facilities",2022,GA,327468243.0,60972.0,34,7,44
Utica (City of) Parks and Recreation Department,2017,NY,68861250.0,62325.0,22,30,
Rocky Mount Parks and Recreation Department,2017,NC,11000000.0,57000.0,,,
Miami Beach Parks and Recreation Department,2017,FL,317200000.0,92799.0,41,0,262
Fishers Parks and Recreation Department,2017,IN,1431986.0,88000.0,25,4,11
Nashua Parks and Recreation Dept,2017,NH,265598979.0,89900.0,54,8,35
Elyria (City of),2017,OH,30000000.0,53500.0,12,0,19
Elyria (City of),2018,OH,1700000.0,53000.0,11,,24
Colerain Township,2017,OH,500000.0,58000.0,9,11,6
Lake Elsinore (City of),2017,CA,43000000.0,62000.0,,,
Lake Elsinore (City of),2019,CA,3200000.0,62000.0,,,
"Rocklin (City of) Recreation, Arts, and Event Tourism",2017,CA,61799600.0,64417.0,,,
Johnson City Parks and Recreation,2017,TN,2032343.0,66677.0,,,
Johnson City Parks and Recreation,2022,TN,8299995.0,71046.0,24,5,114
Palatine Park District,2021,IL,19750900.0,83000.0,,,
M Prospect Park District,2018,IL,20000000.0,56000.0,,,
Livermore Area Rec and Park Dist,2017,CA,21093793.0,92705.0,,,
"S Joseph (City of) - Parks, Recreation and Civic Facilities",2017,MO,123243188.0,76472.0,42,11,110
"S Joseph (City of) - Parks, Recreation and Civic Facilities",2018,MO,123243188.0,76472.0,42,11,110
"S Joseph (City of) - Parks, Recreation and Civic Facilities",2019,MO,128693576.0,76472.0,42,11,108
"S Joseph (City of) - Parks, Recreation and Civic Facilities",2020,MO,123243188.0,76472.0,42,11,110
Elings Park Foundation,2017,CA,1200000.0,90000.0,1,0,7
Sampson County Parks and Recreation,2018,NC,720169.0,63500.0,1,5,
Wheaton Park District,2017,IL,34700000.0,60513.0,50,4,289
Wheaton Park District,2020,IL,33915238.0,60513.0,54,2,222
Wheaton Park District,2019,IL,36327000.0,60513.0,50,4,284
Wheaton Park District,2022,IL,32859976.0,60513.0,54,2,222
Marana (Town of) Parks and Recreation,2023,AZ,233500000.0,58000.0,,,58
Albany (City of) Department of Recreation,2017,NY,176982803.0,98111.0,32,7,44
Fort Sill Family and MWR,2017,OK,17628199.0,97019.0,5,8,257
Cedar Park PARD,2017,TX,133191725.0,68918.0,46,0,30
Cedar Park PARD,2021,TX,158200000.0,79462.0,45,1,36
Cedar Park PARD,2020,TX,158200000.0,81043.0,45,1,36
Camden (City of),2017,NJ,427650.0,77000.0,30,,11
Camden (City of),2018,NJ,427650.0,77000.0,30,,11
Camden (City of),2019,NJ,427650.0,77000.0,30,,11
Hamilton Parks Conservancy,2017,OH,,62259.0,,,12
Brookhaven Parks and Recreation Department,2017,GA,2660844.0,52000.0,,,
Brookhaven Parks and Recreation Department,2018,,2605844.0,52000.0,15,0,7
Brookhaven Parks and Recreation Department,2019,GA,3201127.0,56000.0,,,
New Rochelle (City of),2017,NY,5675485.0,79027.0,30,2,33
Frederick (City of) Parks and Recreation,2018,MD,7539287.0,71408.0,,,69
Frederick (City of) Parks and Recreation,2017,MD,5702336.0,70060.0,,,
Tamarac (City of) Department of Parks and Recreation,2021,FL,,68305.0,15,4,11
Ocala (City of) Recreation and Parks,2018,FL,777317969.0,59110.0,36,5,81
Ocala (City of) Recreation and Parks,2019,FL,777317969.0,59110.0,36,5,81
Ocala (City of) Recreation and Parks,2022,FL,891324121.0,64096.0,47,5,23
Ocala (City of) Recreation and Parks,2020,FL,791089657.0,59110.0,36,5,76
Ocala (City of) Recreation and Parks,2021,FL,817129466.0,63591.0,47,5,87
Kennewick (City of),2018,WA,5704442.0,80280.0,,,
Ogden City Corporation,2020,UT,180727925.0,87773.0,,,
Hendersonville (City of) Parks Department,2018,TN,2344404.0,57517.0,,,19
Hendersonville (City of) Parks Department,2019,TN,58000000.0,60000.0,9,0,24
New Lenox Community Park District,2020,IL,8270790.0,69143.0,37,2,51
New Lenox Community Park District,2021,IL,8270790.0,69143.0,37,2,51
New Lenox Community Park District,2022,IL,10358885.0,69143.0,33,7,55
New Lenox Community Park District,2018,IL,9295200.0,69143.0,37,2,79
Centre Region Parks and Recreation,2018,PA,65691753.0,92096.0,56,2,31
Centre Region Parks and Recreation,2019,PA,75691753.0,92096.0,56,2,33
Centre Region Parks and Recreation,2020,PA,3459994.0,93522.0,56,0,43
Walton County,2018,FL,1200000.0,65000.0,28,25,14
Minot Park District,2022,ND,13890478.0,53763.0,,,95
"Widefield Community, Education and Recreation Services",2018,CO,2600000.0,51000.0,,,
"Widefield Community, Education and Recreation Services",2019,CO,2700000.0,50000.0,4,,33
Grand Junction Parks and Recreation,2018,CO,126600000.0,62475.0,41,2,64
Franklin (City of),2018,TN,,78321.0,,,
Calvert County Parks and Recreation,2018,MD,327124490.0,91502.0,34,22,163
Calvert County Parks and Recreation,2019,MD,327124490.0,92525.0,34,22,163
Calvert County Parks and Recreation,2022,MD,327940026.0,92525.0,40,22,171
Calvert County Parks and Recreation,2020,MD,327124490.0,92525.0,34,22,163
Calvert County Parks and Recreation,2021,MD,327124490.0,92525.0,34,22,163
Greater Huntington Park and Recreation District,2020,WV,3200000.0,90000.0,,,30
West Allis-West Milwaukee Recreation and Community Services,2021,WI,4075000.0,64150.0,4,,14
Strathcona County,2018,AB,,98000.0,,,
Watsonville (City of),2020,CA,160020410.0,55000.0,26,,34
Watsonville (City of),2021,CA,184133519.0,52590.0,26,19,48
Watsonville (City of),2022,CA,184133519.0,52590.0,26,19,48
Watsonville (City of),2018,CA,103009069.0,55000.0,,,
Watsonville (City of),2019,CA,117717799.0,55000.0,26,,54
Washington Township Recreation Center,2020,OH,32891016.0,56607.0,1,3,46
Washington Township Recreation Center,2018,OH,24935969.0,56607.0,1,3,46
USAG-HI Community Recreation Division,2018,HI,10928266.0,97943.0,0,0,126
MTLA,2018,WA,11757081.0,56243.0,,,
"Leesburg, (Town of) Department of Parks and Recreation",2018,VA,58559000.0,54215.0,17,,41
Pico Rivera (City of),2018,CA,89984592.0,62942.0,,1,34
Bristol (City of) Parks and Recreation Department ,2018,CT,2580645.0,60147.0,20,0,48
Bristol (City of) Parks and Recreation Department ,2019,CT,434521802.0,59535.0,18,1,36
Bristol (City of) Parks and Recreation Department ,2020,CT,446932912.0,60477.0,18,1,36
Bristol (City of) Parks and Recreation Department ,2021,CT,4787145.0,60477.0,18,2,67
Bristol (City of) Parks and Recreation Department ,2022,CT,224031426.0,60477.0,19,2,67
Sunrise Recreation and Parks District,2022,CA,265045620.0,97335.0,13,9,140
Lakewood (City of),2019,WA,87576895.0,59670.0,13,1,26
Crawford County,2019,AR,18832283.0,62996.0,1,0,218
Crawford County,2020,AR,18832283.0,62996.0,1,0,218
Crawford County,2021,AR,18832283.0,62996.0,1,0,218
Euless: (City of) Parks and Community Services,2022,TX,129108509.0,57109.0,17,12,74
Euless: (City of) Parks and Community Services,2019,TX,129108509.0,55174.0,17,12,74
Euless Texas Parks and Community Services,2019,TX,7300000.0,56160.0,,,
S Peters (City of),2020,MO,,59000.0,,,
S Peters (City of),2021,MO,81130960.0,57732.0,,,
S Peters (City of),2022,MO,6200000.0,58126.0,24,22,45
Lake Charles (City of) Recreation and Parks,2019,LA,4500000.0,76000.0,33,,38
