Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Spalding County Parks and Recreation,2014,GA,2334885.0,63829.0,18,31,
Spalding County Parks and Recreation,2015,GA,,,,,0
James City County Parks and Recreation,2015,VA,175250000.0,72583.0,20,0,99
James City County Parks and Recreation,2013,VA,165630000.0,70516.0,18,0,101
James City County Parks and Recreation,2014,VA,171500000.0,70516.0,18,0,100
James City County Parks and Recreation,2018,VA,196250000.0,75524.0,17,,107
James City County Parks and Recreation,2019,VA,205850000.0,76397.0,17,,108
James City County Parks and Recreation,2016,VA,186964000.0,73147.0,17,0,101
James City County Parks and Recreation,2017,VA,193415000.0,74404.0,17,0,111
James City County Parks and Recreation,2022,VA,202200000.0,79882.0,17,0,102
James City County Parks and Recreation,2020,VA,211825000.0,76523.0,17,0,98
James City County Parks and Recreation,2021,VA,196238400.0,76523.0,17,0,103
"McKinney (City of) Parks, Recreation and Open Space",2021,TX,390699230.0,,,,
"McKinney (City of) Parks, Recreation and Open Space",2017,TX,12500000.0,172500.0,,,
"McKinney (City of) Parks, Recreation and Open Space",2016,TX,8624277.0,160000.0,,,0
"McKinney (City of) Parks, Recreation and Open Space",2019,TX,149102970.0,188000.0,41,,115
"McKinney (City of) Parks, Recreation and Open Space",2015,TX,110661507.0,155142.0,,,
Collier Township Parks and Recreation,2013,PA,6500000.0,7080.0,,,
Decatur (City of) Active Living,2014,GA,20653790.0,,,,
Haw River Trail,2014,NC,145000000.0,154000.0,13,0,22
Haw River Trail,2013,NC,145000000.0,154000.0,13,0,22
Haw River Trail,2019,NC,175000000.0,160000.0,19,3,24
Haw River Trail,2018,NC,175000000.0,160000.0,19,3,23
Macon-Bibb County,2016,GA,4066900.0,153515.0,36,0,87
Macon-Bibb County,2017,GA,3820710.0,153515.0,41,0,61
Macon-Bibb County,2015,,5235782.0,,,,
Carrboro (Town of) Recreation and Parks Dep,2017,,,,,,
Carrboro (Town of) Recreation and Parks Dep,2016,,,,,,
Carrboro (Town of) Recreation and Parks Dep,2019,NC,5000000.0,22000.0,6,1,16
MWR Department PNSY,2016,ME,4000000.0,7000.0,3,21,74
MWR Department PNSY,2017,ME,3824000.0,24000.0,4,20,89
MWR Department PNSY,2015,ME,3000000.0,10000.0,2,0,69
MWR Department PNSY,2014,ME,4000000.0,6000.0,,,38
KCMO Parks and Recreation,2017,,,,,,
KCMO Parks and Recreation,2020,,,,,,
KCMO Parks and Recreation,2022,MO,,,,,
KCMO Parks and Recreation,2021,MO,,,,,
Huron-Clinton Metroparks,2022,MI,59073081.0,4441000.0,13,13,454
Huron-Clinton Metroparks,2020,MI,48094735.0,4441000.0,13,13,0
Huron-Clinton Metroparks,2021,MI,48094735.0,4441000.0,13,13,0
Huron-Clinton Metroparks,2015,MI,,4704743.0,,,
Cary (Town of),2015,NC,14612652.0,153868.0,32,13,295
Cary (Town of),2013,,,,,,
Cary (Town of),2014,NC,201925030.0,151727.0,28,0,478
Cary (Town of),2017,NC,228553689.0,160390.0,34,16,312
Cary (Town of),2016,NC,148144513.0,157259.0,32,13,308
Cary (Town of),2019,NC,252370598.0,167316.0,34,16,315
Cary (Town of),2018,NC,244322147.0,163930.0,34,16,315
Cary (Town of),2020,NC,252370598.0,167316.0,34,16,315
Mishawaka (City of) Parks and Recreation Department,2015,IN,3520000.0,50000.0,,,
Charlottesville Department of Parks and Recreation,2013,VA,135532094.0,43475.0,30,3,
Charlottesville Department of Parks and Recreation,2016,VA,160000000.0,48210.0,36,13,145
Charlottesville Department of Parks and Recreation,2020,VA,,48117.0,,,
Charlottesville Department of Parks and Recreation,2021,VA,,48117.0,44,13,74
Crossville Park and Recreation,2015,TN,1116830.0,10795.0,3,1,13
Modesto (City of),2013,CA,,,,,
Bloomfield Park Department,2020,IN,8500000.0,,,,
Pasco County Parks and Recreation,2020,FL,764544622.0,328239523.0,35,5,139
Pasco County Parks and Recreation,2019,FL,703880441.0,539630.0,35,5,153
"Westford Parks, Recreation, and Cemetery",2014,MA,,,,,
S Helens (City of),2012,OR,35089799.0,12895.0,,,
Gilbert Parks and Recreation,2014,AZ,614355096.0,239277.0,31,0,101
Gilbert Parks and Recreation,2015,AZ,405193686.0,239572.0,31,0,101
Gilbert Parks and Recreation,2019,AZ,2062169000.0,266971.0,29,71,165
Gilbert Parks and Recreation,2020,AZ,1086067000.0,266971.0,29,71,165
Gilbert Parks and Recreation,2021,AZ,1086067000.0,266971.0,29,71,165
Gilbert Parks and Recreation,2022,AZ,546996680.0,273136.0,32,11,126
Apache Junction (City of) Parks and Recreation,2020,AZ,46700000.0,36606.0,,,
Apache Junction (City of) Parks and Recreation,2017,AZ,35460000.0,36606.0,,,
Apache Junction (City of) Parks and Recreation,2014,AZ,42065600.0,38131.0,,,27
Apache Junction (City of) Parks and Recreation,2012,AZ,35460000.0,36606.0,,,
Thompson Rivers Parks and Recreation District,2014,CO,1749818.0,18930.0,6,4,18
Thompson Rivers Parks and Recreation District,2015,CO,1779010.0,18900.0,5,4,16
Thompson Rivers Parks and Recreation District,2013,CO,1749818.0,18930.0,6,4,18
MWR Kings Bay Gerogia,2013,GA,6636911.0,31432.0,9,0,176
OUTDOOR RECREATION OSP,2015,LA,28080239.0,4670724.0,22,17,358
Anne Arundel Recreation and Parks,2018,MD,31700000.0,573300.0,99,106,449
Anne Arundel Recreation and Parks,2022,MD,31700000.0,573300.0,99,106,449
Southwest Ranches (Town of) PROS Dep,2014,FL,9184140.0,7345.0,,,
Cooper City (City of),2014,FL,,34000.0,,,10
Mountlake Terrace (City of) Recreation and Parks,2014,WA,19128802.0,20674.0,11,4,50
Mountlake Terrace (City of) Recreation and Parks,2018,WA,19202987.0,21337.0,11,4,38
Mountlake Terrace (City of) Recreation and Parks,2019,WA,19976988.0,21590.0,11,4,38
Mountlake Terrace (City of) Recreation and Parks,2017,WA,18730090.0,21182.0,11,4,38
Mountlake Terrace (City of) Recreation and Parks,2016,WA,18512035.0,20910.0,11,4,65
Mountlake Terrace (City of) Recreation and Parks,2022,WA,22508792.0,21428.0,11,4,37
Mountlake Terrace (City of) Recreation and Parks,2020,WA,20008360.0,21590.0,11,4,40
Mountlake Terrace (City of) Recreation and Parks,2021,WA,22171016.0,21980.0,11,4,37
Tukwila Pool Metropolitan Park District,2014,WA,1000000.0,19107.0,1,0,2
"San Jose (City of) Parks, Recreation and Neighborhood Services",2019,CA,126088458.0,1058000.0,206,,697
"San Jose (City of) Parks, Recreation and Neighborhood Services",2021,CA,3554879606.0,1010249.0,,,
"San Jose (City of) Parks, Recreation and Neighborhood Services",2020,,,,,,
"Botetourt County Parks, Recreation and Tourism",2014,VA,24479752.0,33002.0,40,6,14
"Riverside (City of) Parks, Recreation and Community Services Dep",2014,CA,222538010.0,316619.0,61,0,
"Riverside (City of) Parks, Recreation and Community Services Dep",2015,CA,222538010.0,316619.0,61,0,195
"Riverside (City of) Parks, Recreation and Community Services Dep",2019,CA,998700000.0,303871.0,62,14,111
"Riverside (City of) Parks, Recreation and Community Services Dep",2018,CA,998700000.0,303871.0,62,14,111
"Riverside (City of) Parks, Recreation and Community Services Dep",2016,CA,18200000.0,316619.0,62,14,159
"Riverside (City of) Parks, Recreation and Community Services Dep",2017,CA,,,,,
"Riverside (City of) Parks, Recreation and Community Services Dep",2020,CA,1129736361.0,331360.0,62,14,162
"Riverside (City of) Parks, Recreation and Community Services Dep",2021,CA,1199692476.0,331360.0,62,14,162
"Riverside (City of) Parks, Recreation and Community Services Dep",2022,CA,1144349789.0,320606.0,62,17,214
LA City Recreation and Parks Valley/Shoreline Region,2021,CA,10531278041.0,3898797.0,491,,"2,927"
LA City Recreation and Parks Valley/Shoreline Region,2020,CA,10710077843.0,3999759.0,487,,"3,070"
LA City Recreation and Parks Valley/Shoreline Region,2022,CA,11480288112.0,3849000.0,490,,"1,422"
LA City Recreation and Parks Valley/Shoreline Region,2018,CA,9292125739.0,3999759.0,490,11,"3,052"
LA City Recreation and Parks Valley/Shoreline Region,2019,CA,9889768481.0,3999759.0,487,,"3,315"
LA City Recreation and Parks Valley/Shoreline Region,2011,CA,7250000000.0,3819702.0,423,3,"1,399"
LA City Recreation and Parks Valley/Shoreline Region,2010,CA,6884790001.0,4094764.0,417,0,"1,044"
"O Parks, Wildlife, and Recreation",2017,NY,75000.0,3000.0,1,0,1
Port S Lucie (City of) Parks and Recreation Department,2013,FL,82726024.0,155251.0,,,
Park Forest (Village of) Recreation and Parks Department,2013,IL,28961040.0,22056.0,17,16,35
Park Forest (Village of) Recreation and Parks Department,2015,IL,21755336.0,22200.0,17,16,35
Park Forest (Village of) Recreation and Parks Department,2014,IL,21051709.0,22056.0,17,16,36
Park Forest (Village of) Recreation and Parks Department,2012,IL,19075289.0,22633.0,17,16,37
Park Forest (Village of) Recreation and Parks Department,2017,IL,24723123.0,22200.0,17,16,35
Park Forest (Village of) Recreation and Parks Department,2016,IL,24237031.0,22200.0,17,16,35
Park Forest (Village of) Recreation and Parks Department,2019,IL,24705886.0,22200.0,18,16,27
Park Forest (Village of) Recreation and Parks Department,2018,IL,24705886.0,22200.0,18,16,27
Park Forest (Village of) Recreation and Parks Department,2020,IL,28143039.0,22200.0,18,16,27
Park Forest (Village of) Recreation and Parks Department,2021,IL,29376382.0,22200.0,18,16,26
Greene County Parks and Trails,2015,OH,1600000.0,163820.0,,,
Charleston County Park and Recreation Commission,2015,SC,40779910.0,372803.0,26,19,351
Charleston County Park and Recreation Commission,2014,SC,40779910.0,372803.0,26,19,351
Charleston County Park and Recreation Commission,2018,SC,29551770.0,401438.0,30,25,372
Charleston County Park and Recreation Commission,2019,SC,30472151.0,411406.0,17,40,389
Charleston County Park and Recreation Commission,2017,SC,29551770.0,389262.0,14,36,367
Charleston County Park and Recreation Commission,2021,SC,33586983.0,411406.0,17,40,348
Charleston County Park and Recreation Commission,2020,SC,,,,,
Charleston County Park and Recreation Commission,2022,SC,33586983.0,411406.0,17,40,348
Fort Worth (City of) Parks and Community Services,2022,TX,1537295017.0,917050.0,297,"1,304",458
Fort Worth (City of) Parks and Community Services,2020,TX,1985882287.0,909585.0,291,"1,365",444
Fort Worth (City of) Parks and Community Services,2021,TX,1984541124.0,917050.0,291,,433
Fort Worth (City of) Parks and Community Services,2017,TX,55243010.0,854113.0,278,"1,741",477
Fort Worth (City of) Parks and Community Services,2019,TX,56866387.0,,,,
Fort Worth (City of) Parks and Community Services,2018,TX,55243010.0,854113.0,283,"1,741",477
Fort Worth (City of) Parks and Community Services,2014,TX,,,,,
Fort Worth (City of) Parks and Community Services,2011,TX,1490753296.0,746290.0,257,0,344
Sedona (City of) Parks and Recreation,2014,AZ,14829308.0,10111.0,7,0,6
Union Vale Parks and Recreation,2013,NY,,,,,
west virginia development office,2015,WV,37508687.0,1850326.0,35,11,858
"Administration/North Mankato, MN",2014,MN,17000000.0,13500.0,21,5,7
Hillsborough County,2012,FL,,1100000.0,200,0,320
Hillsborough County,2018,FL,1969400000.0,1408566.0,170,4,195
Hillsborough County,2019,FL,2137333223.0,1436888.0,166,6,199
Hillsborough County,2017,FL,1893900000.0,1300000.0,166,163,144
Hillsborough County,2016,FL,1806000000.0,1349050.0,166,4,212
Hillsborough County,2020,FL,36959653.0,1471968.0,166,0,252
Hillsborough County,2021,FL,36959653.0,1471968.0,166,0,252
Hillsborough County,2022,FL,36959653.0,1471968.0,166,,235
Lakeway (City of) Parks and Recreation Department,2020,TX,13870803.0,15981.0,5,10,19
Lakeway (City of) Parks and Recreation Department,2022,TX,14471809.0,22000.0,8,28,163
Lakeway (City of) Parks and Recreation Department,2019,TX,14170568.0,15673.0,5,10,26
"Novi (City of), Dep of Parks Recreation and Cultural Services",2019,MI,87128641.0,59911.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2018,MI,134140300.0,59911.0,20,5,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2016,MI,101559135.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2017,MI,85867163.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2014,MI,55299118.0,57960.0,17,5,26
"Novi (City of), Dep of Parks Recreation and Cultural Services",2015,MI,82820120.0,59911.0,18,5,10
"Novi (City of), Dep of Parks Recreation and Cultural Services",2022,MI,68948058.0,66243.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2020,MI,87128641.0,59911.0,24,4,29
"Novi (City of), Dep of Parks Recreation and Cultural Services",2021,MI,68948058.0,59911.0,24,4,29
Clark County Parks and Recreation,2022,NV,9371197530.0,2292476.0,116,13,454
Itasca Park District,2015,IL,5252125.0,9000.0,16,0,38
Itasca Park District,2014,IL,5252125.0,9000.0,16,0,38
Itasca Park District,2016,IL,4832601.0,9255.0,16,0,38
Itasca Park District,2018,IL,3813322.0,9255.0,12,0,38
Forsyth County Parks and Recreation,2018,GA,348064505.0,227967.0,27,0,121
Forsyth County Parks and Recreation,2019,GA,343552347.0,236612.0,27,0,118
Forsyth County Parks and Recreation,2016,GA,9622800.0,212438.0,24,1,112
Forsyth County Parks and Recreation,2017,GA,290150796.0,216781.0,25,2,115
Forsyth County Parks and Recreation,2015,GA,7810900.0,204000.0,22,1,0
Forsyth County Parks and Recreation,2013,GA,99000000.0,195045.0,,,
Forsyth County Parks and Recreation,2022,GA,487572711.0,245754.0,28,0,107
Forsyth County Parks and Recreation,2021,GA,394552411.0,244252.0,27,0,114
Forsyth County Parks and Recreation,2020,GA,373662754.0,244252.0,27,0,102
Santa Fe Parks and Recreation Department,2015,NM,16314859.0,69976.0,70,22,198
Santa Fe Parks and Recreation Department,2017,NM,336165026.0,83875.0,75,18,172
Santa Fe Parks and Recreation Department,2016,NM,320000000.0,67947.0,71,300,153
Rockdale County Parks and Recreation,2017,GA,2684359.0,89355.0,17,11,40
Rockdale County Parks and Recreation,2019,GA,3010857.0,89866.0,15,12,42
Rockdale County Parks and Recreation,2020,GA,2215890.0,89866.0,15,12,50
Rockdale County Parks and Recreation,2021,GA,3722646.0,89866.0,15,12,39
Rockdale County Parks and Recreation,2023,GA,4227570.0,94082.0,15,12,39
Rockdale County Parks and Recreation,2022,GA,3722646.0,89866.0,15,12,39
Lynchburg Parks and Recreation,2022,VA,426094137.0,79099.0,27,7,54
Lynchburg Parks and Recreation,2021,VA,367565694.0,81266.0,27,7,53
Lynchburg Parks and Recreation,2019,VA,3798285.0,80380.0,,,
Lynchburg Parks and Recreation,2018,VA,3736759.0,79531.0,22,19,56
Lynchburg Parks and Recreation,2013,VA,282018271.0,78014.0,,,0
Maryland-National Capital Park and Planning Commission,2015,,,,,,0
"Goochland County Parks, Recreation and Facilities",2019,VA,593247.0,23244.0,8,,10
"Goochland County Parks, Recreation and Facilities",2020,VA,621230.0,23244.0,8,,10
"Goochland County Parks, Recreation and Facilities",2023,VA,1108780.0,25488.0,7,1,13
"Goochland County Parks, Recreation and Facilities",2022,VA,1108780.0,25488.0,7,1,13
National Trail Parks and Recreation District,2022,OH,3466000.0,135633.0,26,0,24
National Trail Parks and Recreation District,2020,OH,3125306.0,134557.0,26,0,24
National Trail Parks and Recreation District,2021,OH,3146340.0,134557.0,26,0,24
National Trail Parks and Recreation District,2019,OH,2896886.0,134557.0,26,0,27
National Trail Parks and Recreation District,2018,OH,2896886.0,134786.0,26,0,25
National Trail Parks and Recreation District,2017,OH,2531807.0,134786.0,26,0,25
National Trail Parks and Recreation District,2016,OH,3450314.0,138000.0,23,0,54
National Trail Parks and Recreation District,2015,OH,4179237.0,138000.0,23,0,55
National Trail Parks and Recreation District,2013,OH,4000000.0,136167.0,23,4,26
National Trail Parks and Recreation District,2014,OH,4188883.0,136554.0,23,4,60
Bellflower (City of) Parks and Recreation,2014,CA,37070884.0,77593.0,8,2,49
Idaho Department of Parks and Recreation,2014,ID,,1634464.0,,,
Idaho Department of Parks and Recreation,2013,ID,,1612136.0,,,
Idaho Department of Parks and Recreation,2018,ID,36146000.0,1700000.0,28,4,194
Idaho Department of Parks and Recreation,2020,ID,44969100.0,1700000.0,28,4,152
Park Township Parks and Recreation,2014,MI,4443820.0,17802.0,13,0,7
Fauquier County Parks and Recreation,2014,VA,266600000.0,67207.0,21,16,28
Fauquier County Parks and Recreation,2015,VA,266600000.0,67207.0,21,16,28
Fauquier County Parks and Recreation,2018,VA,,,,,
Fauquier County Parks and Recreation,2016,VA,,68782.0,21,16,29
Fauquier County Parks and Recreation,2017,VA,3752458.0,69521.0,21,16,38
Fauquier County Parks and Recreation,2020,VA,,71222.0,30,7,30
Fauquier County Parks and Recreation,2021,VA,4479247.0,72972.0,9,17,38
Mount Pleasant SC Recreation Department,2020,SC,7359758.0,89000.0,5,21,75
Mount Pleasant SC Recreation Department,2021,SC,7576000.0,93000.0,,,
Mount Pleasant SC Recreation Department,2022,SC,91855353.0,93000.0,,,80
Mount Pleasant SC Recreation Department,2018,SC,7328898.0,86552.0,5,21,68
Mount Pleasant SC Recreation Department,2019,,,,,,
Mount Pleasant SC Recreation Department,2013,SC,101679757.0,73160.0,,,
"Loudoun County Parks, Recreation and Community Services",2013,,,,,,
"Loudoun County Parks, Recreation and Community Services",2015,VA,1419712109.0,367000.0,40,19,516
"Loudoun County Parks, Recreation and Community Services",2014,VA,1280000000.0,350000.0,52,15,515
"Loudoun County Parks, Recreation and Community Services",2019,VA,1843241150.0,410000.0,59,29,500
"Loudoun County Parks, Recreation and Community Services",2018,VA,1724478496.0,400000.0,49,16,516
"Loudoun County Parks, Recreation and Community Services",2016,VA,1419712109.0,367000.0,40,19,516
"Loudoun County Parks, Recreation and Community Services",2022,VA,2300436094.0,438756.0,43,21,721
"Loudoun County Parks, Recreation and Community Services",2020,VA,3161490715.0,423953.0,59,28,550
"Loudoun County Parks, Recreation and Community Services",2021,VA,3161490715.0,438756.0,59,27,677
Merrimack Parks and Recreation,2014,NH,21219616.0,25494.0,,,6
Boone County Parks,2014,KY,2575452.0,124442.0,19,12,1
Boone County Parks,2015,KY,2100000.0,124000.0,19,13,50
Boone County Parks,2020,KY,3000000.0,140000.0,,,21
Boone County Parks,2022,KY,4157989.0,138000.0,,,27
Montrose Parks and Cemetery,2013,CO,1085434.0,,29,5,7
Montrose Parks and Cemetery,2014,CO,1151454.0,20000.0,29,5,10
New London Recreation Department,2014,CT,81979980.0,27545.0,19,1,20
New London Recreation Department,2013,CT,81979980.0,27545.0,19,1,20
New London Recreation Department,2015,CT,81979980.0,27545.0,19,1,20
New London Recreation Department,2012,CT,81979980.0,27545.0,19,1,20
New London Recreation Department,2011,CT,81979980.0,27545.0,19,1,13
New London Recreation Department,2016,CT,81979980.0,27545.0,19,1,18
New London Recreation Department,2017,CT,81979980.0,27545.0,19,1,18
New London Recreation Department,2019,CT,93551560.0,26939.0,13,0,9
New London Recreation Department,2022,CT,98674201.0,27635.0,19,1,21
Olivette Park and Recreation,2020,MO,,7800.0,,,
Olivette Park and Recreation,2021,MO,10005325.0,8504.0,5,2,11
Olivette Park and Recreation,2014,MO,11000000.0,,,,
Oakland Park (City of) Parks and Leisure Services,2014,FL,97872350.0,43286.0,18,91,66
Kannapolis (City of) Parks and Recreation,2014,NC,,42625.0,,,
Kannapolis (City of) Parks and Recreation,2015,NC,59539383.0,42625.0,9,0,26
Kannapolis (City of) Parks and Recreation,2018,NC,75000000.0,48806.0,9,0,35
Kannapolis (City of) Parks and Recreation,2016,NC,59539383.0,42625.0,9,0,26
Kannapolis (City of) Parks and Recreation,2020,NC,84000000.0,50841.0,11,0,34
Grove City (City of),2020,OH,2800000.0,42766.0,23,5,71
Grove City (City of),2022,OH,2600000.0,43232.0,23,5,71
Grove City (City of),2021,OH,2600000.0,42232.0,23,5,71
Grove City (City of),2017,OH,2434000.0,41495.0,21,1,60
Grove City (City of),2019,OH,2800000.0,42400.0,21,5,71
Grove City (City of),2015,OH,2300000.0,38519.0,21,5,71
Woodhaven Association,2016,IL,2500000.0,12000.0,,,
Stillwater (City of) Parks and Reacreation,2016,OK,3200000.0,48967.0,,,
Yuma (City of),2016,AZ,173635913.0,93400.0,35,26,183
Yuma (City of),2019,AZ,173635913.0,93400.0,35,26,183
Yuma (City of),2015,AZ,164190136.0,93400.0,35,26,254
Yuma (City of),2014,AZ,164190136.0,93013.0,35,26,124
Manning (City of),2014,IA,2327192.0,1500.0,1,2,1
Rockwall (City of) Parks and Recreation,2018,TX,2740100.0,44000.0,24,3,35
Rockwall (City of) Parks and Recreation,2016,TX,3223800.0,44000.0,35,12,37
Georgetown Township,2014,MI,9107129.0,46985.0,,,
Chillicothe Park District,2016,IL,1153025.0,20000.0,9,1,3
Chillicothe Park District,2017,IL,1124000.0,22000.0,9,0,2
"Brookfield Parks, Recreation and Forestry",2014,WI,79000000.0,38000.0,,,
Englewood (City of),2014,CO,42126719.0,31516.0,12,31,41
Englewood (City of),2018,CO,,33500.0,,,
Englewood (City of),2019,CO,52702392.0,35000.0,17,6,396
Englewood (City of),2021,CO,57521582.0,35000.0,17,6,396
Englewood (City of),2022,CO,57469272.0,36000.0,17,6,511
Rolling Meadows Park District ,2019,IL,6825000.0,24000.0,11,0,78
Rolling Meadows Park District ,2018,IL,5900000.0,24000.0,11,0,84
Rolling Meadows Park District ,2017,IL,5860500.0,24000.0,11,0,158
Rolling Meadows Park District ,2016,IL,6085000.0,24000.0,11,0,158
Rolling Meadows Park District ,2014,IL,5865000.0,24279.0,11,0,162
Rolling Meadows Park District ,2015,IL,6085000.0,20000.0,11,0,162
Galveston (City of) Dep of Parks and Recreation,2015,TX,108356651.0,49608.0,,,
Phillipsburg Recreation Department,2015,NJ,161000.0,15000.0,,,
Phillipsburg Recreation Department,2014,NJ,167170.0,14570.0,,,11
Parkland  (City of),2015,FL,36198150.0,26518.0,,,13
Mission (City of) Parks and Recreation,2015,KS,9700036.0,9489.0,7,0,46
Mission (City of) Parks and Recreation,2014,KS,10357025.0,9391.0,7,0,12
S Charles Parish,2015,LA,6009506.0,52780.0,48,2,44
The Woodlands Parks and Recreation Dep,2014,TX,,,,,
The Woodlands Parks and Recreation Dep,2022,TX,102031916.0,121000.0,150,"2,371",202
The Woodlands Parks and Recreation Dep,2020,TX,108918678.0,118000.0,151,,170
"El Paso (City of), Parks and Recreation",2020,TX,38791794.0,681728.0,315,90,607
"El Paso (City of), Parks and Recreation",2021,TX,28109035.0,678815.0,323,86,152
"El Paso (City of), Parks and Recreation",2022,TX,32163944.0,678415.0,328,86,325
"El Paso (City of), Parks and Recreation",2015,TX,19099918.0,679036.0,250,40,381
"El Paso (City of), Parks and Recreation",2016,TX,20562196.0,679036.0,260,40,381
"El Paso (City of), Parks and Recreation",2017,TX,24263811.0,683080.0,256,40,355
"El Paso (City of), Parks and Recreation",2018,TX,24263811.0,683080.0,256,40,355
"El Paso (City of), Parks and Recreation",2019,TX,29183311.0,682669.0,308,56,345
Lafayette Parks and Recreation Department ,2014,LA,12512369.0,230845.0,39,0,116
Carroll County Park District,2014,OH,,,2,0,3
Montgomery County Recreation,2018,MD,,1059000.0,,,
Montgomery County Recreation,2020,MD,44885621.0,1052567.0,,,
Gastonia (City of),2020,NC,285177983.0,77000.0,21,2,73
Gastonia (City of),2018,NC,236992490.0,75536.0,,,
Gastonia (City of),2014,NC,202730505.0,73209.0,,,
"Pittsfield, MA (City of)",2014,MA,148000000.0,44057.0,,,
Des Moines (City of) Parks and Recreation,2018,WA,4185336.0,31238.0,25,5,30
Lexington Parks and Recreation,2018,KY,22139230.0,321959.0,101,0,308
Lexington Parks and Recreation,2019,,,,,,
Lexington Parks and Recreation,2017,KY,22983510.0,318449.0,104,0,312
Lexington Parks and Recreation,2016,KY,22750781.0,314488.0,107,0,200
Lexington Parks and Recreation,2020,KY,623491841.0,328152.0,91,9,269
Lexington Parks and Recreation,2021,KY,20526400.0,323159.0,91,9,229
Lexington Parks and Recreation,2022,KY,630961291.0,322570.0,97,11,114
Palm Beach Gardens (City of),2022,FL,132237756.0,59755.0,18,0,90
Palm Beach Gardens (City of),2021,FL,182700733.0,59098.0,17,0,83
Palm Beach Gardens (City of),2020,FL,175554209.0,57890.0,,,
Virginia State Parks,2017,VA,52186885006.0,8470020.0,36,7,607
Virginia State Parks,2018,VA,52613575796.0,8517685.0,37,7,607
Tinley Park-Park District,2018,IL,9901000.0,57000.0,45,5,79
Tinley Park-Park District,2017,IL,9901000.0,56831.0,,,31
Tinley Park-Park District,2016,IL,11356427.0,14329.0,11,3,9
Tinley Park-Park District,2014,IL,11514317.0,14329.0,11,3,9
Tinley Park-Park District,2015,IL,12799627.0,14410.0,11,3,9
Tinley Park-Park District,2020,IL,10736013.0,57000.0,44,11,79
Tinley Park-Park District,2021,IL,10714370.0,57000.0,44,11,80
Tinley Park-Park District,2022,IL,8642430.0,57000.0,44,11,80
Nassau County,2015,FL,68295856.0,76000.0,,,27
Shawano County Parks,2013,WI,14913863.0,41643.0,8,6,6
Shawano County Parks,2020,WI,159212.0,41000.0,8,4,4
Middlesex County Office of Parks and Recreation ,2020,NJ,1298658.0,829685.0,18,14,111
Middlesex County Office of Parks and Recreation ,2017,,,,,,
Middlesex County Office of Parks and Recreation ,2019,NJ,1298658.0,829685.0,18,14,107
TN State Parks,2017,TN,82379722.0,6716000.0,56,,
"Bloomington, MN (City of)",2013,MN,143966989.0,86030.0,97,0,
"Bloomington, MN (City of)",2022,MN,,,,,
"Portland, Maine Parks, Recreation and Facilities Department",2020,ME,256986420.0,66215.0,67,,127
"Portland, Maine Parks, Recreation and Facilities Department",2021,ME,268216301.0,68208.0,67,,128
"Portland, Maine Parks, Recreation and Facilities Department",2014,ME,220985836.0,66194.0,,,
"Portland, Maine Parks, Recreation and Facilities Department",2018,ME,189306000.0,66882.0,66,,148
Arlington Heights Park District,2014,IL,26455325.0,75101.0,57,4,258
Arlington Heights Park District,2015,IL,26455325.0,75101.0,57,4,258
Arlington Heights Park District,2020,IL,27545430.0,75525.0,58,,237
Arlington Heights Park District,2021,IL,25499180.0,75525.0,58,,229
Arlington Heights Park District,2022,IL,25574930.0,73692.0,58,,232
"Matthews (Town of) Parks, Recreation and Cultural Resource Dep",2015,NC,18875163.0,29384.0,7,2,7
"Matthews (Town of) Parks, Recreation and Cultural Resource Dep",2014,NC,18875163.0,29384.0,7,2,7
"Matthews (Town of) Parks, Recreation and Cultural Resource Dep",2019,NC,25640249.0,32117.0,12,3,7
Olathe Parks and Recreation Department,2018,KS,20128000.0,142000.0,,,290
Olathe Parks and Recreation Department,2014,KS,,,,,
Olathe Parks and Recreation Department,2021,,,,,,
Fergus Falls (City of),2014,MN,,,,,
Hopkins/Minnetonka Recreation Department,2013,MN,5826200.0,69393.0,,,70
Hopkins/Minnetonka Recreation Department,2019,MN,59607400.0,53953.0,52,15,61
Hopkins/Minnetonka Recreation Department,2020,MN,122245705.0,53025.0,53,2,123
Hopkins/Minnetonka Recreation Department,2021,MN,122245705.0,53025.0,53,2,123
Elk River,2022,MN,2500000.0,29000.0,,,
Elk River,2021,MN,2500000.0,29000.0,41,1,33
Elk River,2014,MN,,23447.0,,,
New Brighton Parks and Recreation,2014,MN,13196021.0,22073.0,14,2,35
New Brighton Parks and Recreation,2015,MN,13463700.0,22073.0,14,2,17
New Brighton Parks and Recreation,2019,MN,4475100.0,22899.0,17,,36
New Brighton Parks and Recreation,2018,MN,3825500.0,22496.0,17,,41
New Brighton Parks and Recreation,2017,MN,3601200.0,22496.0,17,,41
New Brighton Parks and Recreation,2016,MN,14232900.0,22351.0,14,2,17
New Brighton Parks and Recreation,2021,MN,4784600.0,23454.0,17,,39
New Brighton Parks and Recreation,2020,MN,4804500.0,22899.0,17,,39
New Brighton Parks and Recreation,2022,MN,5044100.0,23454.0,17,,43
